POST_CODE,CITY_CODE,CITY_NAME,PROV_CODE,ZONE_CODE,COMP_NAME,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY
T4V1M2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1M3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1M4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1M5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1M6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1M7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1M8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1M9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1N1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1N2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1N3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1N5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1N6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1N7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1N8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1N9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1P1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1P2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1P3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1P4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1P5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1P6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1P7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1P9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1R1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1R2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1R3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1R4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1R5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1R6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1R7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1R8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1R9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1S1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1S2,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1S3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1S4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1S6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1S7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1S8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1S9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1T1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1T3,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1T4,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1T5,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1T6,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1T7,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1T8,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1T9,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
T4V1V1,CAMROSE,Camrose,AB,E,Total Ecom-Edmonton,,,,,,X,
